Index,Model,Calib,Variant,H,Q,AUC,PR_AUC,Recall@FPR,Brier,ECE,EventRate_Test,N_Test,RUN
SP500,Logistic,uncal,MKT,5,0.85,0.8842425780258818,0.62779282281084,0.8914285714285715,0.12078127738910302,0.16549669080385837,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,MKT,5,0.85,0.8842425780258818,0.62779282281084,0.8914285714285715,0.10198898804800426,0.1287088543854012,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,uncal,CNT,5,0.85,0.8855468155290536,0.6258864937390948,0.8914285714285715,0.1135324927692395,0.1498199373146236,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,CNT,5,0.85,0.8855468155290536,0.6258864937390948,0.8914285714285715,0.09999876864186366,0.1223174849334528,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,uncal,MEAN,5,0.85,0.8844658716061914,0.6315704557847047,0.8571428571428571,0.11787469837134083,0.159834373839425,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,MEAN,5,0.85,0.8844658716061914,0.6315704557847047,0.8571428571428571,0.09521638908490605,0.11413818935118653,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,uncal,MAX,5,0.85,0.8867089571174829,0.6295714123460409,0.88,0.11595698908078207,0.15533257747801568,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,MAX,5,0.85,0.8867089571174829,0.6295714123460409,0.88,0.09346189008147825,0.10843520089491168,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,uncal,P90,5,0.85,0.8864450647043897,0.6302749605227816,0.88,0.11601677965947411,0.15587356108775305,0.1345119139123751,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,P90,5,0.85,0.8864450647043897,0.6302749605227816,0.88,0.09308093597573154,0.10813258320550642,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,uncal,MKT,5,0.85,0.8391753362090841,0.5166103495603201,0.7657142857142857,0.104055932158703,0.08594114004973002,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,MKT,5,0.85,0.8391753362090841,0.5166103495603201,0.7657142857142857,0.09476640934642679,0.07601537262206501,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,uncal,CNT,5,0.85,0.8330017761989342,0.5430656435852298,0.7314285714285714,0.09719960680554174,0.08267047372161421,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,CNT,5,0.85,0.8330017761989342,0.5430656435852298,0.7314285714285714,0.0920113903736929,0.06810509349117609,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,uncal,MEAN,5,0.85,0.8441766049226085,0.5688465502999531,0.7771428571428571,0.0977941141973086,0.09019775440349613,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,MEAN,5,0.85,0.8441766049226085,0.5688465502999531,0.7771428571428571,0.08979034769071464,0.07071998958306099,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,uncal,MAX,5,0.85,0.8415960416138036,0.5417098006162733,0.7657142857142857,0.10119087653244396,0.09246220512269143,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,MAX,5,0.85,0.8415960416138036,0.5417098006162733,0.7657142857142857,0.09611072735083623,0.08396960943441353,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,uncal,P90,5,0.85,0.8470235980715555,0.5713804094983582,0.7828571428571428,0.09510102380593509,0.08659415206398854,0.1345119139123751,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,P90,5,0.85,0.8470235980715555,0.5713804094983582,0.7828571428571428,0.09183590550784371,0.08428265629448568,0.1345119139123751,1301,FILTER_OFF
SP500,HAR(OLS_score),NA,HAR,5,0.85,0.823024613042375,0.5638295646465042,,,,0.1345119139123751,1301,FILTER_OFF
NASDAQ,Logistic,uncal,MKT,5,0.85,0.871188938402527,0.6842681712000178,0.8303249097472925,0.12707108876253484,0.1216010544505415,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,MKT,5,0.85,0.871188938402527,0.6842681712000178,0.8303249097472925,0.12592137257493563,0.11289227551109611,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,uncal,CNT,5,0.85,0.8674765907039711,0.6881825468863538,0.8592057761732852,0.13764935189340724,0.15210866564117886,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,CNT,5,0.85,0.8674765907039711,0.6881825468863538,0.8592057761732852,0.1331881206312875,0.13679124533414586,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,uncal,MEAN,5,0.85,0.8674025552797833,0.6898781389242481,0.8483754512635379,0.13887064196842205,0.15526986011678606,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,MEAN,5,0.85,0.8674025552797833,0.6898781389242481,0.8483754512635379,0.1319158510607754,0.13414638711646548,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,uncal,MAX,5,0.85,0.8699409126805054,0.6905447733386938,0.8267148014440433,0.13751513144878832,0.1537869683855364,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,MAX,5,0.85,0.8699409126805054,0.6905447733386938,0.8267148014440433,0.12735935870749807,0.12458687642616352,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,uncal,P90,5,0.85,0.8681887409747292,0.690865258221141,0.8411552346570397,0.1389021686640973,0.15588302333755416,0.212913143735588,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,P90,5,0.85,0.8681887409747292,0.690865258221141,0.8411552346570397,0.12862498998191016,0.1267996757362369,0.212913143735588,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,MKT,5,0.85,0.8289605426444044,0.5897241564214983,0.6750902527075813,0.14287023571401422,0.10944072393823266,0.212913143735588,1301,FILTER_OFF
